state,input
"[-24.439,-2.598,46.184,-0.902]","[4.170]"
"[-24.447,-2.471,46.184,-0.669]","[4.167]"
"[-24.453,-2.446,46.183,-0.640]","[4.164]"
"[-24.459,-2.510,46.181,-0.751]","[4.162]"
"[-24.468,-2.652,46.178,-0.938]","[4.159]"
"[-24.479,-2.851,46.174,-1.142]","[4.157]"
"[-24.493,-3.058,46.168,-1.341]","[4.154]"
"[-24.508,-3.213,46.161,-1.517]","[4.151]"
"[-24.524,-3.259,46.154,-1.652]","[4.150]"
"[-24.538,-3.157,46.147,-1.733]","[4.147]"
"[-24.551,-2.951,46.140,-1.765]","[4.146]"
"[-24.562,-2.705,46.132,-1.753]","[4.144]"
"[-24.572,-2.482,46.125,-1.705]","[4.142]"
"[-24.580,-2.334,46.118,-1.631]","[4.141]"
"[-24.588,-2.255,46.111,-1.541]","[4.139]"
"[-24.595,-2.227,46.105,-1.452]","[4.138]"
"[-24.603,-2.232,46.100,-1.375]","[4.136]"
"[-24.613,-2.254,46.095,-1.320]","[4.136]"
"[-24.623,-2.285,46.090,-1.275]","[4.134]"
"[-24.633,-2.318,46.086,-1.222]","[4.133]"
"[-24.643,-2.348,46.081,-1.143]","[4.132]"
"[-24.652,-2.372,46.076,-1.029]","[4.131]"
"[-24.661,-2.398,46.071,-0.908]","[4.130]"
"[-24.669,-2.437,46.066,-0.815]","[4.129]"
"[-24.678,-2.500,46.063,-0.786]","[4.128]"
"[-24.688,-2.591,46.062,-0.847]","[4.128]"
"[-24.700,-2.689,46.061,-0.994]","[4.126]"
"[-24.711,-2.763,46.060,-1.214]","[4.125]"
"[-24.723,-2.786,46.056,-1.491]","[4.124]"
"[-24.735,-2.735,46.049,-1.807]","[4.123]"
"[22.508,2.118,47.783,-1.441]","[-3.704]"
"[22.517,2.524,47.776,-1.334]","[-3.703]"
"[22.529,2.750,47.767,-0.750]","[-3.703]"
"[22.545,2.521,47.757,0.507]","[-3.703]"
"[22.561,0.905,47.750,2.693]","[-3.703]"
"[22.576,-3.198,47.752,6.079]","[-3.703]"
"[22.585,-10.884,47.769,10.938]","[-3.699]"
"[22.582,-23.005,47.805,17.433]","[-3.690]"
"[22.537,-39.420,47.869,25.305]","[-3.621]"
"[22.415,-59.744,47.970,34.187]","[-3.563]"
"[22.181,-83.589,48.117,43.714]","[-3.405]"
"[21.809,-110.088,48.315,53.427]","[-3.199]"
"[21.300,-136.451,48.560,62.497]","[-3.085]"
"[20.664,-159.411,48.846,70.001]","[-2.865]"
"[19.911,-175.696,49.167,75.018]","[-2.758]"
"[19.059,-182.696,49.515,76.820]","[-2.588]"
"[18.170,-180.425,49.869,75.451]","[-2.480]"
"[17.313,-169.552,50.210,71.152]","[-2.455]"
"[16.559,-150.750,50.517,64.161]","[-2.446]"
"[15.962,-125.091,50.773,54.845]","[-2.448]"
"[15.526,-95.260,50.974,44.090]","[-2.458]"
"[15.238,-64.341,51.123,32.908]","[-2.464]"
"[15.087,-35.420,51.221,22.312]","[-2.467]"
"[15.056,-11.134,51.270,13.165]","[-2.474]"
"[15.122,7.674,51.280,5.716]","[-2.479]"
"[15.255,20.612,51.264,0.066]","[-2.481]"
"[15.425,27.286,51.231,-3.688]","[-2.483]"
"[15.606,27.711,51.194,-5.545]","[-2.484]"
"[15.772,23.542,51.157,-5.913]","[-2.484]"
"[15.898,16.841,51.125,-5.298]","[-2.485]"
"[21.643,185.411,48.106,-87.429]","[-3.685]"
"[22.360,162.342,47.761,-79.011]","[-3.887]"
"[22.952,137.337,47.459,-69.577]","[-3.989]"
"[23.428,112.223,47.201,-59.779]","[-4.188]"
"[23.797,88.830,46.987,-50.268]","[-4.379]"
"[24.068,68.652,46.817,-41.590]","[-4.456]"
"[24.260,51.839,46.684,-33.877]","[-4.570]"
"[24.393,38.204,46.580,-27.159]","[-4.605]"
"[24.486,27.562,46.498,-21.464]","[-4.627]"
"[24.557,19.663,46.430,-16.787]","[-4.616]"
"[24.611,13.994,46.374,-12.986]","[-4.607]"
"[24.651,9.980,46.331,-9.886]","[-4.593]"
"[24.679,7.045,46.300,-7.312]","[-4.587]"
"[24.697,4.712,46.280,-5.131]","[-4.577]"
"[24.708,2.905,46.269,-3.366]","[-4.570]"
"[24.712,1.648,46.264,-2.083]","[-4.567]"
"[24.711,0.964,46.264,-1.348]","[-4.563]"
"[24.708,0.846,46.265,-1.188]","[-4.561]"
"[24.704,1.153,46.267,-1.478]","[-4.558]"
"[24.704,1.714,46.265,-2.053]","[-4.556]"
"[24.710,2.357,46.257,-2.750]","[-4.555]"
"[24.724,2.929,46.242,-3.419]","[-4.553]"
"[24.745,3.352,46.221,-3.961]","[-4.552]"
"[24.767,3.565,46.198,-4.293]","[-4.550]"
"[24.787,3.509,46.176,-4.330]","[-4.549]"
"[24.802,3.156,46.156,-4.017]","[-4.547]"
"[24.811,2.609,46.140,-3.413]","[-4.546]"
"[24.818,2.000,46.127,-2.604]","[-4.545]"
"[24.822,1.464,46.119,-1.679]","[-4.543]"
"[24.825,1.107,46.113,-0.725]","[-4.542]"
"[25.096,1.152,46.004,-0.461]","[-4.502]"
"[25.101,1.114,46.002,-0.533]","[-4.501]"
