state,input
"[14.608,-96.112,52.274,33.748]","[-2.262]"
"[14.415,-96.969,52.341,33.312]","[-2.262]"
"[14.222,-95.364,52.407,32.434]","[-2.262]"
"[14.035,-91.775,52.470,30.541]","[-2.262]"
"[13.857,-86.155,52.529,28.409]","[-2.262]"
"[13.692,-79.034,52.583,25.528]","[-2.262]"
"[13.542,-70.442,52.631,22.577]","[-2.262]"
"[13.411,-60.907,52.673,19.160]","[-2.262]"
"[13.299,-50.525,52.708,15.786]","[-2.262]"
"[13.209,-39.767,52.736,12.220]","[-2.262]"
"[13.140,-28.786,52.757,8.753]","[-2.262]"
"[13.093,-17.952,52.771,5.348]","[-2.262]"
"[13.068,-7.455,52.778,2.056]","[-2.262]"
"[13.063,2.459,52.779,-0.953]","[-2.262]"
"[13.077,11.579,52.774,-3.858]","[-2.262]"
"[13.108,19.801,52.764,-6.299]","[-2.262]"
"[13.155,26.906,52.749,-8.655]","[-2.262]"
"[13.215,32.928,52.730,-10.412]","[-2.262]"
"[13.285,37.654,52.708,-12.102]","[-2.262]"
"[13.364,41.242,52.683,-13.117]","[-2.262]"
"[13.449,43.499,52.656,-14.078]","[-2.262]"
"[13.537,44.676,52.627,-14.349]","[-2.262]"
"[13.626,44.611,52.598,-14.575]","[-2.262]"
"[13.714,43.613,52.569,-14.159]","[-2.262]"
"[13.799,41.564,52.542,-13.707]","[-2.262]"
"[13.880,38.791,52.515,-12.719]","[-2.262]"
"[13.954,35.225,52.491,-11.702]","[-2.262]"
"[14.020,31.178,52.469,-10.299]","[-2.262]"
"[14.078,26.630,52.450,-8.876]","[-2.262]"
"[14.126,21.849,52.434,-7.241]","[-2.262]"
"[14.165,16.867,52.421,-5.596]","[-2.262]"
"[14.193,11.881,52.411,-3.916]","[-2.262]"
"[14.212,6.969,52.405,-2.233]","[-2.262]"
"[14.221,2.250,52.402,-0.679]","[-2.262]"
"[14.221,-2.163,52.402,0.876]","[-2.262]"
"[14.213,-6.234,52.406,2.169]","[-2.262]"
"[14.197,-9.823,52.411,3.466]","[-2.262]"
"[14.174,-12.974,52.419,4.412]","[-2.262]"
"[14.145,-15.535,52.429,5.366]","[-2.262]"
"[14.112,-17.612,52.440,5.924]","[-2.262]"
"[22.544,0.016,48.132,-0.016]","[-3.661]"
"[22.544,0.024,48.132,-0.011]","[-3.661]"
"[22.544,0.017,48.132,-0.017]","[-3.661]"
"[22.545,1.266,48.128,-3.867]","[-3.732]"
"[22.554,7.752,48.114,-10.717]","[-3.802]"
