state,input
"[-11.471,-631.521,52.902,-158.760]","[0.000]"
"[-12.577,-475.291,52.605,-136.668]","[0.000]"
"[-13.372,-320.003,52.373,-94.260]","[0.000]"
"[-13.856,-163.727,52.226,-51.881]","[0.000]"
"[-14.033,-13.646,52.171,-2.759]","[0.000]"
"[-13.916,130.885,52.210,42.409]","[0.000]"
"[-13.520,265.764,52.335,81.725]","[0.000]"
"[-12.865,389.203,52.533,114.885]","[0.000]"
"[-11.976,499.986,52.782,133.176]","[0.000]"
"[-10.883,593.944,53.062,146.568]","[0.000]"
"[-9.617,672.354,53.351,140.661]","[0.000]"
"[-8.215,729.824,53.627,134.828]","[0.000]"
"[-6.715,769.571,53.872,109.550]","[0.000]"
"[-5.159,786.736,54.073,91.597]","[0.000]"
"[-3.587,785.585,54.222,57.155]","[0.000]"
"[-2.038,763.378,54.316,36.945]","[0.000]"
"[-0.550,724.311,54.357,4.792]","[0.000]"
"[0.843,668.470,54.351,-10.000]","[0.000]"
"[2.111,599.127,54.309,-30.477]","[0.000]"
"[3.228,518.692,54.243,-34.644]","[0.000]"
"[4.176,429.475,54.167,-40.745]","[0.000]"
"[4.941,334.848,54.090,-35.123]","[0.000]"
"[5.512,236.659,54.026,-28.723]","[0.000]"
"[5.887,137.922,53.979,-17.805]","[0.000]"
"[6.065,40.728,53.957,-4.292]","[0.000]"
"[6.053,-53.138,53.958,5.902]","[0.000]"
"[5.859,-140.894,53.985,20.232]","[0.000]"
"[5.496,-222.216,54.030,24.548]","[0.000]"
"[4.980,-293.720,54.090,34.827]","[0.000]"
"[4.330,-356.269,54.156,30.725]","[0.000]"
"[-2.032,-455.641,54.314,-17.996]","[0.000]"
"[-2.911,-424.120,54.267,-28.760]","[0.000]"
"[-3.720,-384.260,54.208,-29.973]","[0.000]"
"[-4.441,-336.831,54.144,-33.192]","[0.000]"
"[-5.062,-283.935,54.079,-31.363]","[0.000]"
"[-5.573,-226.849,54.021,-26.842]","[0.000]"
"[-5.967,-166.975,53.971,-22.933]","[0.000]"
"[-6.240,-106.567,53.935,-12.566]","[0.000]"
"[-6.393,-45.708,53.914,-8.543]","[0.000]"
"[-6.426,12.230,53.910,4.608]","[0.000]"
"[-6.346,68.594,53.921,6.645]","[0.000]"
"[-6.158,119.163,53.947,19.436]","[0.000]"
"[-5.873,166.377,53.985,18.086]","[0.000]"
"[-5.501,205.766,54.031,28.161]","[0.000]"
"[-5.055,240.282,54.083,23.237]","[0.000]"
"[-4.549,265.927,54.136,29.445]","[0.000]"
"[-3.997,285.567,54.187,22.024]","[0.000]"
"[-3.416,296.284,54.234,24.370]","[0.000]"
"[-2.819,300.439,54.274,16.403]","[0.000]"
"[-2.222,296.478,54.306,15.664]","[0.000]"
"[-1.640,286.119,54.331,9.298]","[0.000]"
"[-1.085,269.074,54.347,6.520]","[0.000]"
"[-0.569,246.551,54.357,3.409]","[0.000]"
"[-0.103,219.137,54.360,-0.532]","[0.000]"
"[0.303,187.778,54.359,0.093]","[0.000]"
"[0.645,153.374,54.355,-4.191]","[0.000]"
"[0.915,117.002,54.351,0.058]","[0.000]"
"[1.111,79.420,54.346,-4.739]","[0.000]"
"[1.232,41.905,54.343,1.972]","[0.000]"
"[1.279,4.885,54.342,-3.382]","[0.000]"
"[-2.704,103.761,54.281,6.074]","[0.000]"
"[-2.490,110.015,54.292,5.379]","[0.000]"
"[-2.267,113.359,54.304,6.743]","[0.000]"
"[-2.040,113.994,54.315,3.338]","[0.000]"
"[-1.814,111.646,54.325,6.596]","[0.000]"
"[-1.595,107.072,54.332,1.085]","[0.000]"
"[-1.389,99.797,54.339,5.959]","[0.000]"
"[-1.198,90.870,54.344,-0.827]","[0.000]"
"[-1.028,79.817,54.349,5.096]","[0.000]"
"[-0.880,67.738,54.351,-2.042]","[0.000]"
"[-0.758,54.285,54.354,4.137]","[0.000]"
"[-0.663,40.450,54.355,-2.461]","[0.000]"
"[-0.597,26.058,54.356,3.078]","[0.000]"
"[-0.559,11.914,54.357,-2.207]","[0.000]"
"[-0.549,-2.014,54.356,1.852]","[0.000]"
"[-0.567,-15.122,54.357,-1.540]","[0.000]"
"[-0.609,-27.349,54.356,0.403]","[0.000]"
"[-0.675,-38.304,54.355,-0.741]","[0.000]"
"[-0.761,-47.850,54.353,-1.239]","[0.000]"
"[-0.865,-55.846,54.352,-0.029]","[0.000]"
"[-0.983,-62.056,54.349,-2.929]","[0.000]"
"[-1.112,-66.647,54.347,0.477]","[0.000]"
"[-1.248,-69.224,54.343,-4.423]","[0.000]"
"[-1.387,-70.322,54.339,0.757]","[0.000]"
"[-1.527,-69.333,54.334,-5.449]","[0.000]"
"[-1.663,-67.177,54.330,0.856]","[0.000]"
"[-1.794,-63.023,54.325,-5.790]","[0.000]"
"[-1.915,-58.118,54.320,0.838]","[0.000]"
"[-2.025,-51.471,54.315,-5.340]","[0.000]"
"[-2.121,-44.511,54.311,0.745]","[0.000]"
"[-1.880,11.231,54.322,-2.719]","[0.000]"
"[-1.856,12.830,54.322,3.480]","[0.000]"
"[-1.829,14.595,54.324,-2.061]","[0.000]"
"[-1.799,15.438,54.325,2.842]","[0.000]"
"[-1.767,16.305,54.326,-1.130]","[0.000]"
"[-1.735,16.395,54.327,1.839]","[0.000]"
"[-1.702,16.354,54.329,-0.036]","[0.000]"
"[-1.670,15.761,54.329,0.615]","[0.000]"
"[-1.640,14.891,54.331,1.089]","[0.000]"
"[-1.611,13.736,54.331,-0.659]","[0.000]"
"[-1.585,12.190,54.333,2.104]","[0.000]"
"[-1.563,10.632,54.333,-1.811]","[0.000]"
"[-1.543,8.613,54.334,2.876]","[0.000]"
"[-1.528,6.832,54.334,-2.691]","[0.000]"
"[-1.517,4.572,54.335,3.299]","[0.000]"
"[-1.509,2.750,54.335,-3.188]","[0.000]"
"[-1.506,0.482,54.335,3.310]","[0.000]"
"[-1.507,-1.215,54.335,-3.246]","[0.000]"
"[-1.512,-3.274,54.335,2.898]","[0.000]"
"[-1.520,-4.706,54.335,-2.867]","[0.000]"
"[-1.531,-6.378,54.334,2.109]","[0.000]"
"[-1.545,-7.448,54.334,-2.110]","[0.000]"
"[-1.561,-8.602,54.333,1.039]","[0.000]"
"[-1.579,-9.255,54.333,-1.081]","[0.000]"
"[-1.598,-9.819,54.332,-0.175]","[0.000]"
"[-1.618,-10.047,54.332,0.079]","[0.000]"
"[-1.638,-10.008,54.330,-1.375]","[0.000]"
"[-1.658,-9.842,54.330,1.214]","[0.000]"
"[-1.677,-9.247,54.329,-2.405]","[0.000]"
"[-1.695,-8.748,54.329,2.174]","[0.000]"
"[-9.463,-1063.380,53.368,-221.251]","[0.000]"
"[-11.425,-899.180,52.911,-232.804]","[0.000]"
"[-13.050,-726.541,52.464,-210.750]","[0.000]"
"[-14.321,-544.828,52.070,-180.852]","[0.000]"
"[-15.231,-366.092,51.764,-123.388]","[0.000]"
"[-15.782,-185.166,51.570,-69.936]","[0.000]"
"[-15.982,-14.581,51.499,-0.430]","[0.000]"
"[-15.843,153.194,51.553,53.919]","[0.000]"
"[-15.385,305.814,51.720,112.603]","[0.000]"
"[-14.629,450.648,51.982,148.758]","[0.000]"
"[-13.602,576.284,52.314,181.056]","[0.000]"
"[-12.338,688.394,52.685,189.217]","[0.000]"
"[-10.872,777.682,53.066,190.290]","[0.000]"
"[-9.247,847.827,53.430,171.924]","[0.000]"
"[-7.506,892.965,53.750,147.406]","[0.000]"
"[-5.698,915.372,54.011,113.217]","[0.000]"
"[-3.869,913.180,54.199,75.654]","[0.000]"
"[-2.067,888.282,54.315,40.425]","[0.000]"
"[-0.337,841.988,54.358,3.853]","[0.000]"
"[1.282,776.791,54.340,-20.618]","[0.000]"
"[2.754,695.282,54.274,-44.511]","[0.000]"
"[4.051,601.290,54.178,-50.659]","[0.000]"
"[5.149,496.789,54.067,-58.994]","[0.000]"
"[6.032,386.940,53.959,-47.783]","[0.000]"
"[6.691,272.087,53.867,-43.009]","[0.000]"
"[7.121,158.364,53.803,-21.183]","[0.000]"
"[7.324,44.580,53.771,-9.932]","[0.000]"
"[7.306,-62.891,53.775,13.364]","[0.000]"
"[7.077,-165.927,53.812,23.560]","[0.000]"
"[6.653,-258.770,53.876,40.217]","[0.000]"
"[4.405,-473.878,54.149,44.886]","[0.000]"
"[3.412,-518.817,54.233,38.650]","[0.000]"
"[2.344,-549.640,54.301,28.441]","[0.000]"
"[1.228,-565.641,54.343,14.034]","[0.000]"
"[0.095,-567.203,54.360,2.700]","[0.000]"
"[-1.027,-554.828,54.348,-15.072]","[0.000]"
"[-2.111,-529.771,54.310,-21.762]","[0.000]"
"[-3.134,-492.641,54.251,-36.844]","[0.000]"
"[-4.073,-446.176,54.178,-36.375]","[0.000]"
"[-4.909,-390.284,54.096,-45.175]","[0.000]"
"[-5.629,-329.167,54.013,-37.101]","[0.000]"
"[-6.220,-261.765,53.937,-38.671]","[0.000]"
"[-6.675,-193.170,53.872,-25.187]","[0.000]"
"[-6.990,-121.693,53.826,-20.990]","[0.000]"
"[-7.164,-52.425,53.799,-5.923]","[0.000]"
"[-7.200,16.263,53.794,1.187]","[0.000]"
"[-7.104,80.173,53.809,13.754]","[0.000]"
"[-6.884,140.209,53.844,20.842]","[0.000]"
"[-6.550,193.694,53.893,27.817]","[0.000]"
"[-6.116,240.470,53.954,32.923]","[0.000]"
"[-5.596,279.617,54.020,32.980]","[0.000]"
"[-5.007,310.018,54.088,35.597]","[0.000]"
"[-4.364,332.330,54.154,29.327]","[0.000]"
"[-3.687,344.946,54.213,30.226]","[0.000]"
"[-2.993,349.597,54.263,19.714]","[0.000]"
"[-2.299,344.817,54.303,20.305]","[0.000]"
"[-1.621,332.757,54.332,8.338]","[0.000]"
"[-0.976,312.625,54.350,9.882]","[0.000]"
"[-0.377,286.420,54.359,-0.914]","[0.000]"
"[0.164,254.275,54.359,1.896]","[0.000]"
"[1.188,-139.610,54.344,1.630]","[0.000]"
"[0.883,-165.298,54.351,5.688]","[0.000]"
"[0.532,-186.044,54.357,-0.578]","[0.000]"
"[0.144,-201.259,54.360,3.733]","[0.000]"
"[-0.268,-211.048,54.359,-4.530]","[0.000]"
"[-0.694,-215.369,54.355,-0.055]","[0.000]"
"[-1.124,-214.215,54.346,-8.470]","[0.000]"
"[-1.547,-208.253,54.333,-4.053]","[0.000]"
"[-1.952,-197.265,54.318,-11.103]","[0.000]"
"[-2.332,-182.507,54.300,-6.952]","[0.000]"
"[-2.678,-163.657,54.282,-11.392]","[0.000]"
"[-2.984,-142.238,54.262,-7.888]","[0.000]"
"[-3.245,-118.077,54.245,-9.080]","[0.000]"
"[-3.455,-92.522,54.229,-6.750]","[0.000]"
"[-3.614,-65.846,54.218,-4.720]","[0.000]"
"[-3.719,-38.817,54.209,-4.101]","[0.000]"
"[-3.770,-12.361,54.205,0.577]","[0.000]"
"[-3.769,13.576,54.205,-0.885]","[0.000]"
"[-3.718,37.392,54.210,5.532]","[0.000]"
"[-3.621,59.971,54.217,1.946]","[0.000]"
"[-3.482,79.220,54.228,9.091]","[0.000]"
"[-3.306,96.651,54.241,3.752]","[0.000]"
"[-3.099,110.008,54.256,10.690]","[0.000]"
"[-2.868,121.109,54.271,4.351]","[0.000]"
"[-2.619,127.907,54.285,10.322]","[0.000]"
"[-2.359,132.184,54.300,3.995]","[0.000]"
"[-2.095,132.400,54.312,8.441]","[0.000]"
"[-1.833,130.053,54.324,3.183]","[0.000]"
"[-1.578,124.256,54.333,5.736]","[0.000]"
"[-1.338,116.110,54.341,2.435]","[0.000]"
"[-1.772,-3.741,54.325,-1.380]","[0.000]"
"[-1.779,-2.363,54.326,1.659]","[0.000]"
"[-1.782,-0.758,54.325,-2.230]","[0.000]"
"[-1.782,0.475,54.325,2.601]","[0.000]"
"[-1.780,2.029,54.325,-2.794]","[0.000]"
"[-1.775,3.016,54.326,3.188]","[0.000]"
"[-1.768,4.377,54.326,-2.994]","[0.000]"
"[-1.758,5.055,54.326,3.345]","[0.000]"
"[-1.747,6.107,54.327,-2.799]","[0.000]"
"[-1.735,6.453,54.327,3.056]","[0.000]"
"[-1.721,7.115,54.328,-2.231]","[0.000]"
"[-1.707,7.139,54.328,2.365]","[0.000]"
"[-1.693,7.373,54.329,-1.359]","[0.000]"
"[-1.678,7.114,54.329,1.367]","[0.000]"
"[-1.664,6.926,54.330,-0.295]","[0.000]"
"[-1.651,6.444,54.330,0.197]","[0.000]"
"[-1.639,5.880,54.331,0.824]","[0.000]"
"[-1.628,5.248,54.331,-0.989]","[0.000]"
"[-1.618,4.388,54.332,1.851]","[0.000]"
"[-1.610,3.683,54.331,-2.035]","[0.000]"
"[-1.604,2.629,54.332,2.650]","[0.000]"
"[-1.599,1.925,54.332,-2.803]","[0.000]"
"[-1.597,0.792,54.332,3.113]","[0.000]"
"[-1.596,0.152,54.332,-3.196]","[0.000]"
"[-1.597,-0.946,54.332,3.176]","[0.000]"
"[-1.599,-1.472,54.332,-3.164]","[0.000]"
"[-1.603,-2.431,54.332,2.828]","[0.000]"
"[-1.609,-2.813,54.332,-2.717]","[0.000]"
"[-1.615,-3.548,54.331,2.111]","[0.000]"
"[-1.623,-3.774,54.331,-1.915]","[0.000]"
"[11.972,29.137,52.773,-4.686]","[0.000]"
"[11.869,-132.076,52.803,34.057]","[0.000]"
"[11.456,-281.141,52.912,74.805]","[0.000]"
"[10.755,-419.903,53.088,99.777]","[0.000]"
"[9.793,-542.001,53.309,119.592]","[0.000]"
"[8.603,-648.480,53.552,122.363]","[0.000]"
"[7.220,-734.506,53.793,117.145]","[0.000]"
"[5.685,-800.374,54.010,99.008]","[0.000]"
"[4.041,-843.493,54.183,73.885]","[0.000]"
"[2.333,-864.159,54.302,44.032]","[0.000]"
"[0.607,-862.158,54.356,10.217]","[0.000]"
"[-1.094,-838.695,54.346,-19.682]","[0.000]"
"[-2.728,-795.235,54.276,-48.983]","[0.000]"
"[-4.258,-734.518,54.160,-66.895]","[0.000]"
"[-5.651,-658.361,54.008,-83.362]","[0.000]"
"[-6.881,-571.062,53.840,-84.148]","[0.000]"
"[-7.926,-473.653,53.670,-84.644]","[0.000]"
"[-8.771,-371.583,53.514,-69.534]","[0.000]"
"[-9.407,-264.623,53.387,-56.877]","[0.000]"
"[-9.830,-158.687,53.298,-32.173]","[0.000]"
"[-10.042,-52.611,53.252,-13.082]","[0.000]"
"[-10.046,47.953,53.252,12.755]","[0.000]"
"[-9.854,144.370,53.296,30.665]","[0.000]"
"[-9.478,231.871,53.377,50.045]","[0.000]"
"[-8.935,311.379,53.488,61.022]","[0.000]"
"[-8.245,379.477,53.619,69.423]","[0.000]"
"[-7.429,436.386,53.760,71.230]","[0.000]"
"[-6.512,480.322,53.900,68.084]","[0.000]"
"[-5.521,510.984,54.030,62.160]","[0.000]"
"[-4.482,528.205,54.143,50.362]","[0.000]"
"[3.480,-69.892,54.227,5.895]","[0.000]"
"[3.283,-126.939,54.242,9.029]","[0.000]"
"[2.978,-178.242,54.263,11.473]","[0.000]"
"[2.576,-223.035,54.287,13.088]","[0.000]"
