epoch,train_MSE,val_MSE
1,0.004079025238752365,7.45484430808574e-05
2,6.967460649320856e-05,2.6475627237232402e-05
3,4.411811096360907e-05,3.300879689049907e-05
4,3.0007577151991427e-05,1.085077747120522e-05
5,2.377479904680513e-05,1.4619777175539639e-05
6,1.7858650608104654e-05,1.578021328896284e-05
7,1.56203950609779e-05,8.664108463563025e-06
8,1.4095027836447116e-05,7.785190064169e-06
9,1.3135840163158718e-05,2.4710639991099015e-05
10,1.2192367648822255e-05,5.0473099690862e-06
11,1.2005096323264297e-05,7.792703399900347e-06
12,1.1902285223186482e-05,4.0874333535612095e-06
13,1.1098692084487993e-05,2.9831711799488403e-05
14,1.0405634384369478e-05,9.729810699354857e-06
15,1.018687089526793e-05,6.0736547311535105e-06
16,9.778993444342632e-06,7.665227713005152e-06
17,9.644885722082108e-06,4.642080057237763e-06
18,9.236236110155005e-06,4.2461083467060234e-06
19,9.171875717584044e-06,6.942057552805636e-06
20,9.021901860251091e-06,8.759559023019392e-06
21,8.98452981346054e-06,8.78500213730149e-06
22,8.67792550707236e-06,3.921044935850659e-06
23,8.632845492684282e-06,4.177274604444392e-06
24,8.52600351208821e-06,3.322900283819763e-06
25,8.217283721023705e-06,7.016833933448652e-06
26,8.220436939154752e-06,3.996917712356662e-06
27,7.852406270103529e-06,2.7738210519601125e-06
28,7.723747330601327e-06,1.273844281968195e-05
29,7.419514531648019e-06,2.285135633428581e-05
30,7.226952675409848e-06,5.137053449288942e-06
31,7.11775373929413e-06,2.8770689368684543e-06
32,7.064973033266142e-06,3.5587047023000196e-05
33,6.807697900512721e-06,2.0114008293603547e-05
34,6.685314019705402e-06,2.507163799236878e-06
35,6.519020189443836e-06,2.6759055344882654e-06
36,6.387372195604257e-06,4.519768026511883e-06
37,6.405088242900092e-06,7.458829713868909e-06
38,6.24475705990335e-06,2.4726025003474206e-05
39,6.271455731621245e-06,2.601093910925556e-06
40,6.070491963328095e-06,2.4646074052725453e-06
41,6.045595910109114e-06,6.621315151278395e-06
42,6.010295692249201e-06,3.2703715078241657e-06
43,5.952590527158463e-06,3.371090087966877e-06
44,5.8899586292682216e-06,9.888958629744593e-06
45,5.775153567810776e-06,2.638620117068058e-06
46,5.743539077229798e-06,2.903123458963819e-06
47,5.589387001236901e-06,2.353692025280907e-06
48,5.613668690784834e-06,3.2985669804475037e-06
49,5.4647980505251326e-06,2.707665089474176e-06
50,5.414388397184666e-06,3.945707703678636e-06
51,5.40187329534092e-06,9.272829629480839e-06
52,5.377828983910149e-06,2.355339347559493e-06
53,5.272108410281362e-06,4.911735231871717e-06
54,5.296451490721665e-06,2.1332318738132017e-06
55,5.191546279093018e-06,5.449106538435444e-06
56,5.202203283261042e-06,2.67694667854812e-06
57,5.219143531576265e-06,2.9345455914153717e-06
58,5.067406164016575e-06,5.89277406106703e-05
59,5.0415201258147135e-06,1.682246511336416e-05
60,4.895513029623544e-06,2.2674685169477016e-06
61,4.91756463816273e-06,2.2743990939488867e-06
62,4.947951310896315e-06,2.403061671429896e-06
63,4.829621502722148e-06,2.744765424722573e-06
64,4.8130245886568446e-06,1.987796713365242e-05
65,4.6970626499387436e-06,2.123237436535419e-06
66,4.680242909671506e-06,6.475650025095092e-06
67,4.668747806135798e-06,4.483747034100816e-06
68,4.631959654943785e-06,1.7087453670683317e-05
69,4.595241534843808e-06,3.1650497476221062e-06
70,4.5243696149555035e-06,2.0347540612419834e-06
71,4.536685082712211e-06,3.1367862902698107e-06
72,4.522657491179416e-06,8.005576091818511e-06
73,4.300464752304833e-06,2.095311401717481e-06
74,4.382045972306514e-06,2.93984135169012e-06
75,4.381803137221141e-06,1.7641440308580059e-06
76,4.3186123548366595e-06,2.3834447802073555e-06
77,4.206363882985897e-06,7.604089660162572e-06
78,4.1664461605250835e-06,2.4854616640368477e-05
79,4.124812676309375e-06,4.315482328820508e-06
80,4.1190751289832406e-06,3.4415008940413827e-06
81,4.219731181365205e-06,8.153439011948649e-06
82,4.005325536127202e-06,2.3671198050578823e-06
83,4.0311388147529215e-06,2.21413461076736e-06
84,4.0300369619217236e-06,8.110080671031028e-06
85,3.958218258048873e-06,3.697048668982461e-06
86,3.9403380469593685e-06,2.0616464553313563e-06
87,3.929865215468453e-06,2.6214777335553663e-06
88,3.851308520097518e-06,2.0293434772611363e-06
89,3.843852027785033e-06,7.73102328821551e-06
90,3.7802726637892192e-06,2.176511543439119e-06
91,3.8534590203198604e-06,2.1319779079931322e-06
92,3.747206164916861e-06,3.0035150757612428e-06
93,3.7720465115853585e-06,5.863865226274356e-06
94,3.7224326661089435e-06,1.4843241160633625e-06
95,3.6902235933666816e-06,1.81402037924272e-06
96,3.6063315747014713e-06,1.7606477058507153e-06
97,3.7054583117424045e-06,2.075817064906005e-06
98,3.5669042972585885e-06,2.040643494183314e-06
99,3.6147318951407215e-06,5.3645690059056506e-06
100,3.554044951670221e-06,1.6452542013212224e-06
101,3.5474654396239202e-06,6.911725449754158e-06
102,3.509908310661558e-06,1.5356841913671815e-06
103,3.4535012218839256e-06,2.4543578547309153e-06
104,3.4463798783690436e-06,2.203456233473844e-06
105,3.4420077099639457e-06,1.6561145912419306e-06
106,3.415366791159613e-06,6.8284207372926176e-06
107,3.3995047488133423e-06,1.847405997068563e-06
108,3.3480714591860306e-06,1.5842209904803894e-05
109,3.379896043043118e-06,6.2953413362265565e-06
110,3.2795098832139047e-06,2.626787136250641e-06
111,3.272778030805057e-06,3.7695831451856066e-06
112,3.2765549349278444e-06,1.6535356053282158e-06
113,3.2345246836484876e-06,1.7054892396117793e-06
114,3.2549858133279486e-06,2.054586502708844e-06
115,3.2168418329092674e-06,7.204410849226406e-06
116,3.166202759530279e-06,1.5628502296749502e-06
117,3.1665410915593384e-06,1.2756481737596914e-06
118,3.181864940415835e-06,2.3853342554502888e-06
119,3.127237732769572e-06,1.5317535826397943e-06
120,3.119212351521128e-06,2.73758223556797e-06
121,3.0293595045804977e-06,1.5983462162694195e-06
122,3.047248128495994e-06,1.2867647001257865e-06
123,3.070486627620994e-06,1.6486455933772959e-06
124,3.031891765203909e-06,1.3145530601832434e-06
125,3.0016431082913186e-06,3.484033641143469e-06
126,2.9652344437636202e-06,2.0959569155820645e-06
