epoch,train_MSE,val_MSE
1,0.00824921578168869,0.007938280701637268
2,0.0069545479491353035,0.00560268247500062
3,0.0050325943157076836,0.004357379861176014
4,0.003620539326220751,0.0019986722618341446
5,0.0005921726115047932,0.00014527626626659185
6,8.449416054645553e-05,5.118053741171025e-05
7,3.423924499657005e-05,2.6041834644274786e-05
8,2.003082408918999e-05,1.6303351003443822e-05
9,1.3317157936398871e-05,1.1248903319938108e-05
10,9.264538675779477e-06,7.754614671284799e-06
11,6.646537713095313e-06,5.625469384540338e-06
12,4.838052518607583e-06,4.158458068559412e-06
13,3.542361127983895e-06,3.05050866700185e-06
14,2.6552813778835116e-06,2.316317704753601e-06
15,2.0327815946075134e-06,1.7866153712020605e-06
16,1.5771598782521323e-06,1.3985267059979378e-06
17,1.2468135537346825e-06,1.1229834626647062e-06
18,1.0065489277621964e-06,9.343826832264313e-07
19,8.262227311206516e-07,8.005974905245239e-07
20,6.840863306933898e-07,6.905293048475869e-07
21,5.751182925450848e-07,5.816382895318384e-07
22,4.934653929922206e-07,5.177329853722767e-07
23,4.2880273554146697e-07,4.4815897126682103e-07
24,3.832230390798941e-07,3.583780028293404e-07
25,3.307820009013085e-07,2.9088070618854545e-07
26,2.6650735662769875e-07,2.569764205873071e-07
27,2.231199971447495e-07,2.2499600049741275e-07
28,1.9863723821345047e-07,2.123596800629457e-07
29,1.8363338938343077e-07,1.903518267454274e-07
30,1.6781187639480777e-07,1.504424460563314e-07
31,1.4016717386766686e-07,1.3776255514130753e-07
32,1.3034728851835098e-07,1.2873388754996995e-07
33,1.2625881140593265e-07,1.1635040664259577e-07
34,1.1773047248198054e-07,1.1176777547916572e-07
35,1.4248493585000688e-07,1.5854254797886824e-07
36,1.7693554354991647e-07,9.775670406497738e-08
37,1.3831805745212478e-07,3.3310644198536465e-07
38,2.1790019388845394e-07,7.967196893332584e-07
39,2.244320853606041e-07,1.895593015888153e-07
40,1.5535123054633004e-07,6.935038641131541e-07
41,3.011166427313583e-07,3.9079378666428966e-07
42,1.2148976225034858e-07,1.6945806180501677e-07
43,1.3467897019836528e-07,8.677887990415911e-07
44,5.095097890261968e-07,2.755398327281e-07
45,1.5484729942727427e-07,6.393631224455021e-08
46,9.12318043333471e-08,1.4948321336305526e-07
47,1.0048415077790196e-07,4.501510204590886e-07
48,3.32035313022061e-07,5.378151399781927e-07
49,1.0457094390403654e-07,5.8591169249666564e-08
50,8.771046822175776e-08,6.126315383880865e-07
51,5.52060214431549e-07,1.2910669511256856e-07
52,1.0932959781939644e-07,4.419617738449233e-08
53,4.973885481263096e-08,6.789385054162267e-08
54,6.801667495892616e-08,3.620889685862494e-07
55,5.123727078171214e-07,1.8529243561715703e-07
56,1.0056235311139972e-07,3.139596671530853e-08
57,6.67330866122029e-08,2.9244836241559824e-07
58,1.793592332433036e-07,5.169511609892652e-07
59,3.3645048347352713e-07,4.485099509565771e-07
60,8.786600602661565e-08,4.2256907306637004e-08
61,5.977814510060853e-08,5.02778789268632e-07
62,6.404867463061237e-07,7.842078275643871e-08
63,7.86919542861142e-08,4.352651217232051e-08
64,2.8861791179224383e-08,4.2137571654166095e-08
65,4.385989527122547e-08,2.8900080906169023e-07
66,4.022866733066621e-07,5.920381909163552e-07
67,1.1887420470202414e-07,6.382921213798909e-08
68,3.7530146101971695e-08,2.0994707483623642e-07
69,3.3989627468145045e-07,3.0101207926236384e-07
70,1.8348767127918109e-07,4.417382797328173e-07
71,1.9201748102659622e-07,4.0042590399025357e-07
72,1.7130022911260312e-07,3.849625329621631e-07
73,2.072746525527691e-07,4.2590829707478406e-07
74,2.060432393591327e-07,4.2197513039354817e-07
75,1.705220853409628e-07,3.7391632190519886e-07
76,1.8412909241760644e-07,3.857844035337621e-07
77,2.1929783144969406e-07,4.428045770055178e-07
78,1.890959282491167e-07,3.8848818917358585e-07
79,1.6141441960826342e-07,3.557956063104939e-07
80,2.1019452844939224e-07,4.0119510913427803e-07
81,2.1933072957835975e-07,4.426322846029507e-07
82,1.7772568128293642e-07,3.785447404425213e-07
83,1.749638869341652e-07,3.8005197211532504e-07
84,2.277047315146774e-07,4.4749006633537647e-07
85,2.0385859045291e-07,4.0874391515899333e-07
86,1.631610899721636e-07,3.6524173196994525e-07
87,1.980011319346886e-07,3.6785732504540647e-07
88,2.145303881206928e-07,4.1238001813326264e-07
89,1.9566643061352806e-07,4.0454179384141753e-07
90,1.7848306299583783e-07,3.674696813504852e-07
91,1.8525901168686687e-07,3.433748929637659e-07
