epoch,train_MSE,val_MSE
1,0.008337896317243576,0.007752641104161739
2,0.006039568688720465,0.004656742326915264
3,0.004588475916534662,0.004160362761467695
4,0.004254493862390518,0.0037875415291637182
5,0.0023126902524381876,0.0007999594672583044
6,0.00025958960759453475,9.497005521552637e-05
7,3.510525493766181e-05,1.5287650967366062e-05
8,8.450667337456252e-06,4.779341907124035e-06
9,4.217004061501939e-06,2.625698471092619e-06
10,2.879718294934719e-06,6.766208116459893e-06
11,4.11040537073859e-06,1.4437204072237364e-06
12,1.5568747357974644e-06,1.6456959883726086e-06
13,6.25748953098082e-06,1.6079187616924173e-06
14,3.3756812172214268e-06,2.0541524463624228e-06
15,2.3015222723188344e-06,4.027119757665787e-06
16,1.7449314100304036e-06,6.407075261449791e-07
17,1.0197007895840215e-06,4.879823336523259e-07
18,4.736672053695656e-06,2.223946648882702e-05
19,6.202678832778474e-06,8.344153457073844e-07
20,1.9070020016442868e-06,9.428822522750124e-07
21,9.460181331633066e-07,1.1152575325468206e-06
22,6.60930197682319e-07,5.52562084976671e-07
23,1.143407871495583e-06,5.098737574371626e-07
24,2.1265630039124517e-06,1.2096710634068586e-05
25,5.504257842403604e-06,5.089410706204944e-07
26,1.1827413572973455e-06,1.2250634426891338e-06
27,1.4739774769623182e-06,1.2545217487058835e-06
28,2.172743506889674e-06,4.183687906333944e-06
29,1.229826693815994e-06,1.7679808479442727e-06
30,4.7875059863145e-06,1.1030833775294013e-05
31,3.1535121252090903e-06,1.619188196855248e-06
32,1.4247596027416876e-06,2.95999166155525e-06
33,1.3356835779632092e-06,2.419596057734452e-06
34,1.8179042626798037e-06,5.251299626252148e-07
35,6.125765139586292e-07,1.0938646255453932e-06
36,5.723036792915082e-06,2.5696165266708704e-06
37,2.7615749331744155e-06,9.271150247514015e-07
38,5.297874281495751e-07,4.821131938115286e-07
39,4.078699475940084e-07,8.522779353370424e-07
40,8.071938282228075e-07,2.1245309653750155e-06
41,3.948826815758366e-06,8.248159701906843e-07
42,1.184193365588726e-06,1.9423778212512843e-06
43,1.000371071313566e-06,2.1307741917553358e-06
44,4.152554083702853e-06,1.8212722352473065e-05
45,5.713948212360265e-06,5.742379016737686e-07
46,5.365629931475269e-07,8.515800118402694e-07
47,4.3271916183584835e-07,1.051236608873296e-06
48,8.132322477649723e-07,6.112574055805453e-07
49,3.0766551617489313e-07,3.685086085170042e-07
50,9.479617801844142e-06,1.0442581697134301e-05
51,4.753944722324377e-06,3.6400422231963603e-06
52,1.386861185892485e-06,5.89420949381747e-07
53,9.787992212295649e-07,3.3246112707274733e-07
54,5.840273615831393e-07,5.328549264049798e-07
55,4.3619689904517145e-07,8.809845439827768e-07
56,3.080634201069188e-07,1.0060992394755885e-07
57,1.1972065294685308e-07,2.510748515760497e-07
58,3.0919024993636413e-06,2.196566856582649e-05
59,6.968197794776643e-06,2.2834839796814776e-07
60,6.082844379307062e-07,3.324838928620011e-07
61,3.1651509857510973e-07,3.2904043223425106e-07
62,2.677029158348887e-07,1.2237646274115832e-07
63,2.5443168283345585e-07,6.238503260647121e-07
64,4.89879403176019e-06,6.458501502493164e-07
65,1.429285930498736e-06,3.2971198038467264e-07
66,3.0858586796966847e-07,1.3491094819073624e-07
67,2.608867077924515e-07,1.0494848368125531e-07
68,2.3386080272302934e-07,3.2853841958058183e-07
69,5.4849529078637715e-06,1.5774598978168797e-06
70,8.67052960984438e-07,1.3634522133543214e-07
71,2.2643651220732863e-07,4.818360253011633e-07
72,4.97219048156694e-07,1.574804855408729e-06
73,3.125587454633205e-06,2.18751051761501e-06
74,9.927042583512957e-07,6.966662340346375e-07
75,3.321948724988033e-07,4.59896483562261e-07
76,8.304572475026362e-06,5.321200205798959e-06
77,2.295744252478471e-06,1.0430852626086562e-06
78,5.71961436435231e-07,1.9502189729792008e-07
79,1.3853198765900743e-07,8.95934277878041e-08
80,1.284192734374301e-07,3.904056029568892e-07
81,8.06567584277218e-07,4.243333023623563e-06
82,2.368946979913744e-06,2.1585083231911995e-07
83,1.9412205176649877e-07,9.288048374855862e-08
84,1.0233124214664713e-07,3.184838419656444e-07
85,6.411737103917403e-06,3.1154556836554548e-06
86,2.9765060389763676e-06,2.2490203264169395e-06
87,4.5195588427304756e-07,8.666776096788453e-08
88,1.072902477972093e-07,1.9966586251030094e-07
89,4.579020242090337e-06,1.2849096492573153e-05
90,2.3532875275122933e-06,3.7617434145431616e-07
91,3.145586049413396e-07,1.6631437915748393e-07
92,2.5797581315600837e-07,3.0570328135581804e-07
93,1.4874945009069052e-07,6.148113840254155e-08
94,1.1697854773728977e-07,4.028000688549582e-08
95,6.898421247569786e-07,6.592541467398405e-06
96,8.929418072511908e-06,3.316722313684295e-06
97,9.722371032694355e-07,1.1081468187512655e-07
98,1.0981331399761984e-07,6.507440275527188e-08
99,1.0662542138106801e-07,2.786477750760241e-07
